%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
29147.339,8553.4,TE,1550,badLabel,badlabel_opt_in_TE_1550_device_jaspreet_calibration_1,no commment
29013.664,8553.394,TE,1550,badLabel,badlabel_opt_in_TE_1550_device_jaspreet_calibration_2,no commment
28885.14,8553.401,TE,1550,badLabel,badlabel_opt_in_TE_1550_device_jaspreet_calibration_3,no commment
28768.55,8553.401,TE,1550,badLabel,badlabel_opt_in_TE_1550_device_jaspreet_calibration_4,no commment
28645.47,8422.981,TE,1550,badLabel,badlabel_opt_in_TE_1550_device_jaspreet_calibration_5,no commment
28763.64,8115.87,TE,1550,badLabel,badlabel_opt_in_TE_1550_PCM_PCM_SpiralWG9429TE_6,no commment
28977.56,8374.73,TE,1550,badLabel,badlabel_opt_in_TE_1550_PCM_PCM_SpiralWG20613TE_7,no commment
28742.42,8374.67,TE,1550,badLabel,badlabel_opt_in_TE_1550_PCM_PCM_SpiralWG5733TE_8,no commment
28817.75,8232.11,TE,1550,badLabel,badlabel_opt_in_TE_1550_PCM_PCM_SpiralWG0TE_9,no commment
28367.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_10,no commment
28367.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_11,no commment
27767.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_12,no commment
27767.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_13,no commment
28067.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_14,no commment
28067.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_15,no commment
27467.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_16,no commment
27467.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_17,no commment
27767.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_18,no commment
27767.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_19,no commment
28067.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_20,no commment
28067.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_21,no commment
27467.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_22,no commment
27467.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_23,no commment
28367.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_24,no commment
28367.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_25,no commment
28652.012,7755.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_26,no commment
28952.012,7755.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_27,no commment
29252.012,7755.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_28,no commment
26867.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_29,no commment
26867.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_30,no commment
27167.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_31,no commment
27167.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_32,no commment
26567.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_33,no commment
26567.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_34,no commment
25967.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_35,no commment
25967.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_36,no commment
26267.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_37,no commment
26267.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_38,no commment
25667.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_39,no commment
25667.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_40,no commment
26267.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_41,no commment
25967.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_42,no commment
25667.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_43,no commment
25667.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_44,no commment
25967.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_45,no commment
26267.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_46,no commment
27167.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_47,no commment
26867.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_48,no commment
26567.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_49,no commment
26567.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_50,no commment
26867.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_51,no commment
27167.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_52,no commment
26567.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_53,no commment
26567.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_54,no commment
26867.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_55,no commment
26867.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_56,no commment
27167.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_57,no commment
27167.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_58,no commment
26267.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_59,no commment
25967.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_60,no commment
25667.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_61,no commment
26267.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_62,no commment
25967.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_63,no commment
25667.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_64,no commment
25667.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_65,no commment
25967.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_66,no commment
26267.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_67,no commment
27167.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_68,no commment
26567.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_69,no commment
26867.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_70,no commment
28367.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_71,no commment
28367.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_72,no commment
28652.012,7155.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_73,no commment
28652.012,7455.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_74,no commment
28952.012,7155.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_75,no commment
28952.012,7455.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_76,no commment
29252.012,7155.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_77,no commment
29252.012,7455.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_78,no commment
27767.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_79,no commment
28067.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_80,no commment
28067.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_81,no commment
27767.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_82,no commment
27467.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_83,no commment
27467.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_84,no commment
27767.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_85,no commment
28067.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_86,no commment
27467.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_87,no commment
28367.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_88,no commment
28652.012,6555.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_89,no commment
28952.012,6555.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_90,no commment
29252.012,6555.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_91,no commment
29252.012,6855.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_92,no commment
28952.012,6855.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_93,no commment
28652.012,6855.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_94,no commment
24767.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_95,no commment
24767.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_96,no commment
25067.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_97,no commment
