"Die x (mm)","Die y (mm)","Site 1 Layer 1 Thickness (nm)","Site 1 Layer 2 Thickness (nm)","Site 1 Original Point Order"
0,-25,222.0091,1999.626,0
-4.592,-24.49,221.3108,1999.588,1
-4.082,-24.49,221.4613,1999.582,2
-3.571,-24.49,221.5686,1999.59,3
-3.061,-24.49,221.5777,1999.601,4
-2.551,-24.49,221.6711,1999.601,5
-2.041,-24.49,221.7089,1999.604,6
-1.531,-24.49,221.8877,1999.6,7
-1.02,-24.49,221.9982,1999.644,8
-0.51,-24.49,221.9941,1999.634,9
0,-24.49,222.0697,1999.655,10
0.51,-24.49,222.2036,1999.658,11
1.02,-24.49,222.1659,1999.676,12
1.531,-24.49,222.1687,1999.638,13
2.041,-24.49,222.0649,1999.652,14
2.551,-24.49,222.0416,1999.611,15
3.061,-24.49,222.0304,1999.628,16
3.571,-24.49,222.0554,1999.619,17
4.082,-24.49,222.0859,1999.641,18
4.592,-24.49,222.0523,1999.6,19
6.633,-23.98,222.3774,1999.663,20
6.122,-23.98,222.2883,1999.642,21
5.612,-23.98,222.0848,1999.618,22
5.102,-23.98,222.078,1999.628,23
4.592,-23.98,222.1439,1999.613,24
4.082,-23.98,222.0401,1999.615,25
3.571,-23.98,221.9819,1999.581,26
3.061,-23.98,222.0565,1999.603,27
2.551,-23.98,222.1085,1999.614,28
2.041,-23.98,222.0824,1999.651,29
1.531,-23.98,222.1029,1999.656,30
1.02,-23.98,222.1862,1999.611,31
0.51,-23.98,222.2085,1999.673,32
0,-23.98,222.1341,1999.638,33
-0.51,-23.98,222.0349,1999.621,34
-1.02,-23.98,221.9595,1999.621,35
-1.531,-23.98,221.8062,1999.621,36
-2.041,-23.98,221.8571,1999.612,37
-2.551,-23.98,221.7497,1999.616,38
-3.061,-23.98,221.695,1999.621,39
-3.571,-23.98,221.4901,1999.565,40
-4.082,-23.98,221.4587,1999.553,41
-4.592,-23.98,221.3908,1999.594,42
-5.102,-23.98,221.2921,1999.529,43
-5.612,-23.98,221.3494,1999.584,44
-6.122,-23.98,221.1886,1999.578,45
-6.633,-23.98,221.0491,1999.554,46
-8.163,-23.469,221.3426,1999.58,47
-7.653,-23.469,221.3911,1999.57,48
-7.143,-23.469,221.2963,1999.577,49
-6.633,-23.469,221.1357,1999.559,50
-6.122,-23.469,221.1862,1999.548,51
-5.612,-23.469,221.3375,1999.56,52
-5.102,-23.469,221.3762,1999.544,53
-4.592,-23.469,221.455,1999.552,54
-4.082,-23.469,221.5601,1999.589,55
-3.571,-23.469,221.6824,1999.578,56
-3.061,-23.469,221.7902,1999.58,57
-2.551,-23.469,221.7435,1999.597,58
-2.041,-23.469,221.8024,1999.588,59
-1.531,-23.469,221.8594,1999.58,60
-1.02,-23.469,221.9804,1999.607,61
-0.51,-23.469,222.1463,1999.631,62
0,-23.469,222.1583,1999.637,63
0.51,-23.469,222.1362,1999.603,64
1.02,-23.469,222.0815,1999.64,65
1.531,-23.469,221.9789,1999.601,66
2.041,-23.469,222.0053,1999.58,67
2.551,-23.469,222.1636,1999.625,68
3.061,-23.469,222.0835,1999.622,69
3.571,-23.469,221.9903,1999.596,70
4.082,-23.469,221.9809,1999.558,71
4.592,-23.469,222.1117,1999.613,72
5.102,-23.469,222.0351,1999.617,73
5.612,-23.469,222.019,1999.561,74
6.122,-23.469,222.118,1999.569,75
6.633,-23.469,222.1267,1999.566,76
7.143,-23.469,222.0866,1999.552,77
7.653,-23.469,222.3447,1999.613,78
8.163,-23.469,222.5433,1999.692,79
9.694,-22.959,222.4533,1999.626,80
9.184,-22.959,222.4431,1999.65,81
8.673,-22.959,222.4523,1999.635,82
8.163,-22.959,222.3676,1999.664,83
7.653,-22.959,222.1418,1999.562,84
7.143,-22.959,221.9888,1999.558,85
6.633,-22.959,221.9224,1999.542,86
6.122,-22.959,221.9272,1999.569,87
5.612,-22.959,221.9333,1999.565,88
5.102,-22.959,221.9675,1999.556,89
4.592,-22.959,221.9984,1999.555,90
4.082,-22.959,221.9139,1999.563,91
3.571,-22.959,221.9019,1999.579,92
3.061,-22.959,222.0754,1999.616,93
2.551,-22.959,222.1375,1999.595,94
2.041,-22.959,222.1255,1999.603,95
1.531,-22.959,222.0385,1999.596,96
1.02,-22.959,222.0962,1999.602,97
0.51,-22.959,222.0565,1999.616,98
0,-22.959,222.052,1999.604,99
-0.51,-22.959,222.0428,1999.593,100
-1.02,-22.959,221.9306,1999.604,101
-1.531,-22.959,221.9167,1999.578,102
-2.041,-22.959,221.7988,1999.574,103
-2.551,-22.959,221.6718,1999.563,104
-3.061,-22.959,221.72,1999.548,105
-3.571,-22.959,221.6989,1999.573,106
-4.082,-22.959,221.6646,1999.577,107
-4.592,-22.959,221.5325,1999.549,108
-5.102,-22.959,221.5495,1999.572,109
-5.612,-22.959,221.4436,1999.538,110
-6.122,-22.959,221.3885,1999.566,111
-6.633,-22.959,221.2967,1999.547,112
-7.143,-22.959,221.3836,1999.562,113
-7.653,-22.959,221.4334,1999.542,114
-8.163,-22.959,221.4319,1999.565,115
-8.673,-22.959,221.635,1999.589,116
-9.184,-22.959,221.6165,1999.557,117
-9.694,-22.959,221.7186,1999.58,118
-10.714,-22.449,221.6418,1999.597,119
-10.204,-22.449,221.6409,1999.547,120
-9.694,-22.449,221.6431,1999.562,121
-9.184,-22.449,221.6563,1999.564,122
-8.673,-22.449,221.6114,1999.569,123
-8.163,-22.449,221.5098,1999.556,124
-7.653,-22.449,221.4962,1999.546,125
-7.143,-22.449,221.5291,1999.576,126
-6.633,-22.449,221.5813,1999.568,127
-6.122,-22.449,221.5688,1999.572,128
-5.612,-22.449,221.6308,1999.569,129
-5.102,-22.449,221.5746,1999.547,130
-4.592,-22.449,221.6075,1999.529,131
-4.082,-22.449,221.6949,1999.563,132
-3.571,-22.449,221.7151,1999.57,133
-3.061,-22.449,221.6658,1999.557,134
-2.551,-22.449,221.7674,1999.573,135
-2.041,-22.449,221.8176,1999.558,136
-1.531,-22.449,221.9342,1999.559,137
